campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2022-01-18,61,82,601,403,107.92,60,30311
2,2022-01-25,20,15,601,400,159.38,315,43634
3,2022-01-07,35,4,600,400,103.79,986,2368
4,2022-01-07,100,32,600,401,85.18,878,7306
5,2022-01-08,64,95,601,401,88.27,575,1259
6,2022-01-08,56,14,601,400,184.61,716,65444
7,2022-01-06,67,87,600,400,85.96,537,2706
8,2022-01-01,98,70,601,403,176.54,114,13681
9,2022-01-25,53,12,600,403,52.59,846,4655
10,2022-01-02,88,5,600,401,145.62,882,1955
11,2022-01-28,18,28,600,402,99.79,825,6100
12,2022-01-06,40,78,601,400,108.01,528,12529
13,2022-01-06,54,4,601,402,152.15,314,97961
14,2022-01-22,94,72,600,401,128.5,798,4906
15,2022-01-03,10,84,600,401,78.94,732,3384
16,2022-01-14,93,54,600,403,129.51,651,6602
17,2022-01-29,58,76,600,401,111.92,975,3887
18,2022-01-27,26,1,600,402,75.98,994,857
19,2022-01-15,30,21,601,402,162.91,497,2524
20,2022-01-17,70,90,600,401,96.85,599,111
21,2022-01-28,52,36,600,403,95.91,326,8320
22,2022-01-19,38,98,601,400,84.34,489,19011
23,2022-01-17,55,44,601,400,53.45,851,41906
24,2022-01-13,78,14,601,401,152.49,370,7848
25,2022-01-23,23,12,601,401,71.76,976,92039
26,2022-01-03,23,49,600,401,57.12,994,1998
27,2022-01-28,43,45,600,403,124.34,713,3567
28,2022-01-29,84,6,601,403,153.28,668,78767
29,2022-01-17,42,94,600,402,141.52,376,5536
30,2022-01-12,54,16,600,403,157.95,78,3757
31,2022-01-01,34,49,601,401,106.19,1000,85954
32,2022-01-14,92,11,600,403,182.52,974,1284
33,2022-01-08,13,81,601,403,187.17,758,30034
34,2022-01-19,54,80,601,403,185.43,258,24500
35,2022-01-21,91,47,601,402,159.56,324,80494
36,2022-01-22,98,74,600,402,170.01,155,1363
37,2022-01-11,5,9,600,401,124.81,59,5415
38,2022-01-22,14,30,600,400,72.98,150,2155
39,2022-01-02,39,11,600,402,65.13,690,3046
40,2022-01-21,25,13,601,402,163.23,964,90297
41,2022-01-16,10,49,601,403,124.97,601,81037
42,2022-01-01,72,36,601,403,121.62,90,7512
43,2022-01-22,97,59,601,402,182.11,550,54492
44,2022-01-15,44,82,600,401,172.27,271,948
45,2022-01-12,32,21,601,403,173.33,979,51406
46,2022-01-20,61,48,601,403,186.49,232,18655
47,2022-01-10,35,46,600,403,189.89,657,3927
48,2022-01-04,35,35,601,401,135.69,510,71772
49,2022-01-19,13,90,600,402,161.28,45,363
50,2022-01-23,20,83,600,401,187.45,591,938
51,2022-01-05,10,82,601,401,114.03,820,2987
52,2022-01-06,71,22,600,400,92.91,966,2915
53,2022-01-27,88,32,601,403,99.45,655,36772
54,2022-01-11,9,21,601,402,122.51,959,99564
55,2022-01-22,75,60,601,403,185.74,561,59769
56,2022-01-24,54,49,601,402,86.79,794,94338
57,2022-01-18,35,35,600,400,152.48,85,3648
58,2022-01-10,60,82,600,400,86.34,86,1376
59,2022-01-10,28,29,600,400,142.39,606,3053
60,2022-01-27,58,99,601,403,142.29,799,89598
61,2022-01-10,3,100,600,402,186.9,338,4325
62,2022-01-25,39,5,601,401,123.54,95,45101
63,2022-01-13,27,41,601,401,59.31,596,30871
64,2022-01-15,49,52,600,401,137.23,854,7121
65,2022-01-19,97,28,600,401,104.34,173,3671
66,2022-01-10,92,73,601,401,70.85,468,25764
67,2022-01-03,56,92,600,401,138.0,949,4633
68,2022-01-08,53,84,601,401,95.14,437,81895
69,2022-01-14,27,64,600,402,181.83,602,1773
70,2022-01-13,87,83,600,401,125.83,49,2592
71,2022-01-07,81,34,600,401,98.67,326,3239
72,2022-01-15,14,96,600,402,72.23,526,994
73,2022-01-27,41,34,600,402,170.3,488,3696
74,2022-01-26,86,55,601,401,58.14,152,52545
75,2022-01-23,76,75,600,400,83.14,734,841
76,2022-01-18,92,29,601,401,91.3,890,52665
77,2022-01-08,81,18,600,403,124.65,569,5494
78,2022-01-22,9,12,600,401,187.57,17,2096
79,2022-01-22,43,15,601,403,110.33,656,52201
80,2022-01-25,40,20,601,401,148.96,204,12002
81,2022-01-29,56,81,600,402,53.57,487,3563
82,2022-01-26,54,88,601,403,179.92,387,21081
83,2022-01-13,78,55,601,400,58.65,477,96043
84,2022-01-20,90,77,601,401,153.01,266,78003
85,2022-01-16,77,9,601,401,160.25,439,23760
